bike_id,lat,lon,is_reserved,is_disabled,vehicle_type_id
46592fe2-1b83-4e4e-9412-f098a01b4160,43.606036,3.882393,False,False,14
4eb20928-04ae-427b-baf0-756576c61833,43.613989,3.8816,False,False,14
81f29b4f-1406-4b15-a190-7bd319ce7f82,43.631318,3.861299,False,False,14
a647472f-5b1b-4412-8139-056ff02fc4dc,43.605366,3.881346,False,False,14
aa9b1367-e452-4d21-8b4f-26bf5d7bb146,43.588239,3.853421,False,False,14
d85b7850-c015-49d7-b50f-2760eabc017e,43.599652,3.881954,False,False,14
548fe1fa-d811-4158-8838-d9c4a19d6a00,43.608491,3.868389,False,False,14
1519b8e8-2433-4da3-b115-60ea376ddd2d,43.606036,3.882393,False,False,14
1d55799f-e2af-4e6a-bd21-71d5a904021b,43.610989,3.873345,False,False,14
7c71784d-2d60-454f-9c25-1e6af92e2ea1,43.609857,3.883884,False,False,14
78a46a66-13e5-4c19-98a1-68d6bc091719,43.558351,3.963412,False,False,14
e0258b25-0e50-44ed-96d4-20dfe0013777,43.603889,3.879362,False,False,14
1a7fbf0d-18fe-4d55-863a-c47539b0a3d6,43.614005,3.873218,False,False,14
a999fb5a-b9c0-4495-8edf-be24be73afc9,43.606301,3.87724,False,True,14
e6c2d0fe-9c0a-4182-b56f-55d2937550f7,43.599088,3.894866,False,False,14
46dc7091-75d7-4f74-95b0-d85d79f9e75e,43.607942,3.890634,False,False,14
c998c48c-f915-4685-a46f-a4c1d5ca6b9c,43.614642,3.877648,False,False,14
a6f0e1dd-a679-415e-9a26-62ead28ef7e0,43.63543,3.871179,False,False,14
e0ce60e1-03d9-4732-b618-1d2772b64f10,43.619701,3.883831,False,False,14
2f93bea2-4526-4604-b6da-fa3d60f65774,43.558351,3.963412,False,False,14
19d70228-306d-41ec-a04b-f8aa34f050d1,43.63543,3.871179,False,False,14
ff3328f5-23b0-435e-bcfc-42224b06f6ca,43.613989,3.8816,False,False,14
3d573bbf-a76c-4715-98bc-ff2b25727d70,43.608491,3.868389,False,False,14
9f09ea4f-d6e3-4e74-a282-38015cd94306,43.613989,3.8816,False,False,14
80b99c47-8c7e-4490-be4f-0f1268566aaf,43.601143,3.884373,False,False,14
41fca280-9039-4bcf-840a-0453bd9301c7,43.558351,3.963412,False,False,14
dd20c8ee-54a9-4f8e-942e-715cc0d59666,43.616698,3.884981,False,False,14
81071f3d-4920-4ab7-9bc0-3354b5ef71ec,43.599652,3.881954,False,False,14
00651418-6a0e-420c-81b8-7f3444268b75,43.621682,3.83477,False,False,14
f76906a9-fb42-4cbc-b5ee-c1e4e6b1e464,43.603553,3.867884,False,False,14
54100c7b-76d3-4be9-9258-b13c2d805020,43.608996,3.872752,False,False,14
acd22d08-9e8e-4be7-be74-566e8cb468e7,43.608491,3.868389,False,False,14
9573b930-213a-485d-8740-0af393732b79,43.60032,3.89851,False,False,14
6b438c5a-abd4-42f5-a903-e4c1a9129d7d,43.631318,3.861299,False,False,14
f12f1b38-86a3-4a11-b8e2-d1e8e02f55fb,43.599652,3.881954,False,False,14
41a25a37-c46b-44b7-b487-dd1c489e3a1b,43.615155,3.839466,False,False,14
b44ebf3d-6d8f-4c5a-8ac1-3395cb65c5fc,43.605366,3.881346,False,False,14
7d713097-45a1-436b-ba86-82fa6f8aff44,43.607106,3.870693,False,False,14
fa5c40f4-06db-4997-8525-aaf4f2a962ef,43.63543,3.871179,False,False,14
c23ceab1-fd7c-4d98-ae22-cc18c57ab797,43.599652,3.881954,False,False,14
37648584-4ad2-4d2b-8c38-23796555f07b,43.618692,3.893844,False,False,14
59ccc555-a5f4-4e62-a80d-7ad707a4493c,43.635689,3.849597,False,False,14
efdc41de-0163-4a79-a0b6-dc9703658e7d,43.599652,3.881954,False,False,14
04da2f9d-012b-4b12-940e-1e61bd074c18,43.614642,3.877648,False,False,14
8b1c4baf-4a22-49b8-85e0-d31035f1d7c0,43.601143,3.884373,False,False,14
19960fd8-a790-4f46-9b53-cbb4b0b91ad9,43.59562,3.9235,False,False,14
9dc55461-afd2-4b5f-a2fb-f29cd86bfe43,43.558351,3.963412,False,False,14
4dab4765-22d7-4b08-9fa8-043d43edbd28,43.558351,3.963412,False,False,14
6871c7fb-44cc-43ff-ac25-ed1b28c4f5a8,43.607106,3.870693,False,False,14
34b97b0d-a5b2-4bda-8573-8cea42969a84,43.605366,3.881346,False,True,14
63285df7-72f6-4446-8928-63d8437c1882,43.612659,3.867734,False,False,14
7a506dad-6801-4ef6-8960-e6b675664e56,43.606301,3.87724,False,False,14
b91cab54-74b5-470e-9f6d-1e81f92103ad,43.558351,3.963412,False,False,14
ab90a243-d977-4976-b922-bd20af4a220b,43.605366,3.881346,False,False,14
ed3509b4-d908-4771-bc5b-b45c9a51c3e8,43.608148,3.878778,False,False,14
d3d8e303-b02b-49fa-804e-30633d55cb91,43.614005,3.873218,False,False,14
1cdb70aa-0e7d-452c-86b0-5f12e36ccaea,43.601143,3.884373,False,False,14
7144c4e8-83df-4fb5-a6fe-2177b300e6bc,43.639119,3.828199,False,False,14
e462d3e3-dfd7-40c9-8d0c-8723fa6b3579,43.621983,3.855603,False,False,14
9189b364-85f5-4a93-a07e-dd9512502a37,43.558351,3.963412,False,False,14
e1ad44a2-2581-4a5a-aee7-10869636d329,43.558351,3.963412,False,False,14
2f8005b6-46cf-4d45-968d-494a6aa8c1ab,43.599652,3.881954,False,False,14
a10d969f-dbd6-4652-b588-81d9f35f55e2,43.599652,3.881954,False,False,14
7e7ad5d0-ba33-44c1-bc40-b9176292eade,43.616742,3.87998,False,False,14
63f3f3fa-99ea-4381-9202-57c53c4d3c9a,43.616812,3.855075,False,True,14
7cc3df21-09c0-4b51-9a78-cf3d64ad36ce,43.608491,3.868389,False,False,14
2ca5696a-d0a5-413e-a23c-712c768ab92a,43.603767,3.888659,False,False,14
1d461d17-73c2-4800-bfef-57b789989c95,43.603038,3.875796,False,False,14
a7c2259d-f927-41b3-9c02-2e0dfccd27ec,43.599652,3.881954,False,False,14
bcc11400-0789-4d55-b755-268182a9cebf,43.608491,3.868389,False,False,14
01cda4d7-d5de-4d99-be65-dd2ce4aebd24,43.618692,3.893844,False,False,14
d2773937-110a-4061-a340-f90c151c8d25,43.607106,3.870693,False,False,14
dd1c2576-0497-406d-929d-bc3852652b80,43.618692,3.893844,False,False,14
e5ebdc23-1334-4a78-abc9-bbee53f31bc1,43.614005,3.873218,False,False,14
bd821e7d-2b92-4368-8f69-0115c34182fe,43.605366,3.881346,False,False,14
40f25e9c-3e72-4d5a-aaaa-ea44269ac231,43.558351,3.963412,False,False,14
6bbea467-2732-44c3-9b90-89c3c10c5229,43.608491,3.868389,False,False,14
bf89ab00-b70e-4633-9af3-eed2dab848d0,43.607942,3.890634,False,False,14
7dd94378-ad13-431b-bdcf-60e57de8b5cb,43.605366,3.881346,False,False,14
4aa45893-950f-4707-b6f0-9c812a2ffb89,43.621983,3.855603,False,False,14
3d35148d-888f-4f36-a434-82f9d0825adb,43.607859,3.886644,False,False,14
51dc7727-d7fb-44ce-a9e8-fade0b025503,43.614642,3.877648,False,False,14
87ec6d72-a3fa-482f-8479-bd17486fbe1f,43.607942,3.890634,False,False,14
29a3142f-edb1-49cd-bc29-3fe8c99a3d2d,43.635689,3.849597,False,False,14
038cfcb8-7e9a-496a-b674-f831b208955b,43.612659,3.867734,False,False,14
a47ff547-5c45-4df1-882e-937f557c52ee,43.558351,3.963412,False,False,14
a4a27d00-851f-473b-b185-c8733df57301,43.613989,3.8816,False,False,14
284b9a48-8413-44eb-9ecf-68cb5ff6d85b,43.622629,3.868375,False,False,14
45457c42-dc6e-4415-8e52-bfde8c6b726a,43.607942,3.890634,False,False,14
1c276d3a-2dbf-4cd3-8a41-6395918dfa5a,43.616768,3.873375,False,False,14
caa36df8-bf37-4a9f-ab8d-9de2fc479f05,43.616812,3.855075,False,False,14
da7a504d-fe70-4b01-bc7f-453f1230d4ad,43.558351,3.963412,False,False,14
1c25f22f-e044-47a5-a4d3-f935f778d967,43.60032,3.89851,False,False,14
b28403d4-8c0c-4079-b071-1c4ac7a0ff90,43.603424,3.899263,False,False,14
a92e5899-9fd9-4e0a-a446-8cafaebe8a45,43.603889,3.879362,False,False,14
7f4e4114-3c8c-46d8-aea7-115afe3e6cc2,43.614642,3.877648,False,False,14
8da5ac4b-29cb-44a1-9be2-78412bf31956,43.558351,3.963412,False,False,14
df3b0601-ed93-473a-98b1-b1fa251f871f,43.606301,3.87724,False,False,14
dae9342c-bd51-41ac-b9e8-9f48eed46871,43.63543,3.871179,False,False,14
3a1a18ec-25a0-4c84-be8c-3ec458bf7fca,43.618692,3.893844,False,False,14
3cf9d991-3b58-457a-a70b-7669a876a149,43.621682,3.83477,False,False,14
685de6fa-deae-499f-afd4-1ad3e5726294,43.558351,3.963412,False,False,14
c71f6544-dac9-4184-ab8a-030a3ef8e1a8,43.616812,3.855075,False,False,14
