station_id,nom,lat,lon,velos_dispo,nb_places_dispo,commune,etat,ville,nb_emprunts,usage_score,cluster
11,Nouveau siecle,50.63734,3.060977,8,24,Lille,EN SERVICE,Lille,3477.0,0.062228187919463086,0
12,Opera,50.637486,3.065902,12,13,Lille,EN SERVICE,Lille,28853.0,0.5163847874720358,0
12,Opera,50.637486,3.065902,12,13,Lille,EN SERVICE,Lille,4795.0,0.0858165548098434,0
13,Quai du Wault,50.63671,3.054773,3,15,Lille,EN SERVICE,Lille,21060.0,0.3769127516778524,0
13,Quai du Wault,50.63671,3.054773,3,15,Lille,EN SERVICE,Lille,3470.0,0.062102908277404924,0
14,Champ de Mars,50.63778,3.050661,20,20,Lille,EN SERVICE,Lille,43456.0,0.7777360178970917,0
14,Champ de Mars,50.63778,3.050661,20,20,Lille,EN SERVICE,Lille,6518.0,0.11665324384787472,0
15,Esplanade,50.6449,3.050645,9,15,Lille,EN SERVICE,Lille,13106.0,0.2345592841163311,0
15,Esplanade,50.6449,3.050645,9,15,Lille,EN SERVICE,Lille,1777.0,0.031803131991051455,0
16,Magasin,50.646225,3.053499,0,16,Lille,EN SERVICE,Lille,17058.0,0.30528859060402685,0
16,Magasin,50.646225,3.053499,0,16,Lille,EN SERVICE,Lille,3207.0,0.057395973154362415,0
17,Halle aux sucres,50.644695,3.060867,11,8,Lille,EN SERVICE,Lille,19339.0,0.34611185682326623,0
17,Halle aux sucres,50.644695,3.060867,11,8,Lille,EN SERVICE,Lille,3649.0,0.06530648769574944,0
18,Voltaire,50.6428,3.055932,8,6,Lille,EN SERVICE,Lille,17431.0,0.3119642058165548,0
18,Voltaire,50.6428,3.055932,8,6,Lille,EN SERVICE,Lille,3003.0,0.05374496644295302,0
19,Rue Royale,50.64031,3.05774,22,2,Lille,EN SERVICE,Lille,30816.0,0.5515167785234899,0
19,Rue Royale,50.64031,3.05774,22,2,Lille,EN SERVICE,Lille,5198.0,0.09302908277404921,0
20,N.D. de la Treille,50.640385,3.062053,19,11,Lille,EN SERVICE,Lille,16852.0,0.3016017897091723,0
20,N.D. de la Treille,50.640385,3.062053,19,11,Lille,EN SERVICE,Lille,2742.0,0.049073825503355706,0
21,Place du Concert,50.64193,3.061774,8,12,Lille,EN SERVICE,Lille,13071.0,0.23393288590604028,0
21,Place du Concert,50.64193,3.061774,8,12,Lille,EN SERVICE,Lille,2213.0,0.03960626398210291,0
22,Louise de Bettignies,50.64144,3.064974,22,8,Lille,EN SERVICE,Lille,25381.0,0.4542460850111857,0
22,Louise de Bettignies,50.64144,3.064974,22,8,Lille,EN SERVICE,Lille,4104.0,0.0734496644295302,0
23,Rue des Arts,50.639107,3.065767,17,1,Lille,EN SERVICE,Lille,19988.0,0.35772706935123044,0
23,Rue des Arts,50.639107,3.065767,17,1,Lille,EN SERVICE,Lille,3449.0,0.06172706935123042,0
24,Flandres Euralille,50.637078,3.070774,28,12,Lille,EN SERVICE,Lille,53961.0,0.965744966442953,0
24,Flandres Euralille,50.637078,3.070774,28,12,Lille,EN SERVICE,Lille,9679.0,0.17322595078299777,0
25,Gare Lille Flandres,50.636399,3.069354,8,24,Lille,EN SERVICE,Lille,52724.0,0.9436062639821029,0
25,Gare Lille Flandres,50.636399,3.069354,8,24,Lille,EN SERVICE,Lille,8911.0,0.15948098434004473,0
26,Molinel,50.63458,3.068097,21,1,Lille,EN SERVICE,Lille,40530.0,0.7253691275167785,0
26,Molinel,50.63458,3.068097,21,1,Lille,EN SERVICE,Lille,7106.0,0.12717673378076064,0
27,Tanneurs,50.635014,3.064802,26,10,Lille,EN SERVICE,Lille,29665.0,0.530917225950783,0
27,Tanneurs,50.635014,3.064802,26,10,Lille,EN SERVICE,Lille,4743.0,0.08488590604026845,0
28,Palais Rameau,50.634297,3.048936,28,12,Lille,EN SERVICE,Lille,37891.0,0.6781387024608501,0
28,Palais Rameau,50.634297,3.048936,28,12,Lille,EN SERVICE,Lille,7628.0,0.13651901565995525,0
29,St Sebastien,50.647236,3.059376,0,24,Lille,IN_MAINTENANCE,Lille,29096.0,0.5207337807606264,0
30,Rue de Gand,50.64297,3.067375,4,15,Lille,EN SERVICE,Lille,10964.0,0.19622371364653243,0
30,Rue de Gand,50.64297,3.067375,4,15,Lille,EN SERVICE,Lille,1698.0,0.030389261744966443,0
31,Pont Neuf,50.644264,3.062935,18,2,Lille,EN SERVICE,Lille,10328.0,0.18484116331096198,0
31,Pont Neuf,50.644264,3.062935,18,2,Lille,EN SERVICE,Lille,1617.0,0.02893959731543624,0
33,Port de Lille,50.63022,3.035681,4,22,Lille,EN SERVICE,Lille,17273.0,0.30913646532438477,0
33,Port de Lille,50.63022,3.035681,4,22,Lille,EN SERVICE,Lille,3141.0,0.05621476510067114,0
