ville,imd_score,score_marche,score_velo,score_transport,score_mix_usage,score_densite,score_compacite,score_connectivite,score_environnement,details,computed_at
Montpellier,49.97,100.0,12.79,85.8,100.0,30.42,9.29,42.14,74.4,"{'scale': '0 à 100 (100 = standard européen de référence)', 'ville': 'Montpellier', 'scores': {'velo': 12.79, 'marche': 42.84, 'densite': 30.42, 'compacite': 8.26, 'mix_usage': 100.0, 'transport': 40.37, 'connectivite': 53.56, 'environnement': 67.11}, 'imd_score': 49.97, 'indicators': {'o3': 109.0, 'no2': 2.0, 'pm10': 15.0, 'nb_lignes': 43.0, 'pct_65plus': 27.84, 'pct_centre': 10.31, 'nb_parkings': 24.0, 'temperature': 32.4, 'avg_capacite': 12.67, 'nb_arrets_tc': 2112.0, 'nb_free_bikes': 823.0, 'precipitation': 0.0, 'indice_qualite': 3.0, 'population_moy': 15588.74, 'superficie_km2': 56.88, 'total_capacite': 659.0, 'pct_high_income': 10.07, 'pct_young_adult': 14.94, 'nb_stations_velo': 52.0, 'pct_peripherique': 68.17, 'population_ville': 299096.0, 'pct_intermediaire': 21.53, 'taux_occupation_moy': 53.23}, 'computed_at': '2026-05-27T13:41:39.620170', 'methodology': 'ITDP Urban Mobility Index — adapté méthode suédoise — références européennes'}",2026-05-27 11:41:40.725357
Lille,77.85,100.0,96.16,100.0,100.0,40.65,45.88,90.0,40.0,"{'scale': '0 à 100 (100 = standard européen de référence)', 'ville': 'Lille', 'scores': {'velo': 96.16, 'marche': 100, 'densite': 40.65, 'compacite': 44.77, 'mix_usage': 100.0, 'transport': 91.11, 'connectivite': 71.11, 'environnement': 41.78}, 'imd_score': 77.85, 'indicators': {'o3': 120.0, 'no2': 20.0, 'pm10': 30.0, 'mjo_moyen': 390.18, 'nb_lignes': 80.0, 'pct_65plus': 23.7, 'pct_centre': 40.0, 'nb_emprunts': 3059841.0, 'nb_parkings': 29.0, 'temperature': 19.6, 'avg_capacite': 8.26, 'nb_arrets_tc': 5002.0, 'nb_free_bikes': 2229.0, 'precipitation': 15.0, 'indice_qualite': 4.0, 'population_moy': 12750.31, 'superficie_km2': 34.84, 'total_capacite': 5258.0, 'pct_high_income': 9.85, 'pct_young_adult': 17.0, 'nb_stations_velo': 270.0, 'pct_peripherique': 30.0, 'population_ville': 233098.0, 'taux_occupation_moy': 61.77, 'nb_communes_couvertes': 21.0}, 'computed_at': '2026-05-27T13:41:39.620293', 'methodology': 'ITDP Urban Mobility Index — adapté méthode suédoise — références européennes'}",2026-05-27 11:41:40.725357
