id_local,code_com,coordonneesxy,capacite,capacite_cargo,type_accroche,mobilier,mobilier_complement,acces,gratuit,protection,couverture,date_maj,materiaux,coloris,nom_comm
407,34172,"[3.8572238796103893,43.61468355663582]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2274,34172,"[3.871755252589795,43.60345234057755]",1,1,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1147,34172,"[3.8938076658832133,43.61889540644344]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
409,34172,"[3.86851963625047,43.60023272715201]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1248,34172,"[3.842982329017743,43.59090100461392]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
872,34172,"[3.8114849175752794,43.63961816500211]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2089,34172,"[3.902711441309459,43.59816689007674]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1513,34172,"[3.87140279294451,43.63165159237831]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1973,34172,"[3.8720207323854647,43.61595268425224]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1968,34172,"[3.8954338312105516,43.606743074937064]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1288,34172,"[3.8738704,43.609422200023104]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
166,34172,"[3.873680399999999,43.612794000023115]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1718,34198,"[3.95173389024656,43.56225371085504]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Pérols
1596,34172,"[3.879504193137789,43.59205460514566]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
275,34172,"[3.8726051688462855,43.6093002587663]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
494,34172,"[3.8687883964936653,43.606864563358755]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
732,34172,"[3.9134341999999993,43.60076300002314]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1012,34172,"[3.8907139145456044,43.606401222471085]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
350,34172,"[3.9028495,43.60227880002315]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
907,34172,"[3.871366171402617,43.60948964770467]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1385,34172,"[3.8393508537261933,43.59641830403554]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
787,34172,"[3.8392767000000005,43.63943910002306]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
237,34172,"[3.8918017,43.609980900023125]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
276,34172,"[3.8738265655125974,43.615693087521905]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1198,34172,"[3.8543628123106672,43.61168095962321]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
783,34172,"[3.9038901999999993,43.607658800023145]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
547,34172,"[3.8932016448676947,43.6173859141302]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1273,34057,"[3.915191470708302,43.635864921499696]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2520,34172,"[3.831760092481566,43.6178864360172]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
443,34172,"[3.8841613238237263,43.60522104341]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2223,34172,"[3.8918095376277333,43.5937499483053]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
224,34172,"[3.8687431999999995,43.60318060002315]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1835,34172,"[3.8283879673396557,43.614572537577956]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2531,34057,"[3.916587928036456,43.61975568204149]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1518,34172,"[3.8510127612274525,43.589245242843155]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1346,34172,"[3.855309559142487,43.62222694683461]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
807,34172,"[3.8600346,43.600614500023156]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,gris,Montpellier
2271,34172,"[3.8733534524230886,43.604272602832786]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1186,34172,"[3.9100670447947707,43.603244141440484]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
80,34172,"[3.8273523999999997,43.63879440002305]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
