id_local,code_com,coordonneesxy,capacite,capacite_cargo,type_accroche,mobilier,mobilier_complement,acces,gratuit,protection,couverture,date_maj,materiaux,coloris,nom_comm
490,34172,"[3.8910844879318134,43.619071987112854]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
376,34172,"[3.872876416408922,43.607689259732915]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
551,34172,"[3.8816824,43.606064200023134]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
478,34172,"[3.878423384211054,43.605648805111095]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
829,34172,"[3.8801377695370673,43.60226973039211]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1009,34172,"[3.89223629960148,43.60547826984312]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1243,34172,"[3.868567753991183,43.59197651948243]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1045,34172,"[3.908150078912835,43.60105501211569]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2028,34172,"[3.882057478685725,43.606157082058324]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1271,34057,"[3.897749288859418,43.62871944658386]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
400,34172,"[3.902920246552142,43.5964670460504]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
929,34172,"[3.9001715480170547,43.597066554408755]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2484,34172,"[3.814469750542565,43.638148242266034]",10,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Montpellier
2005,34172,"[3.881037718942565,43.604383502466526]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1057,34172,"[3.9068823905783927,43.606076505594]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
700,34172,"[3.868353760166022,43.62195342658417]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
283,34129,"[3.8992687999999993,43.56617530002323]",20,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Lattes
641,34172,"[3.8910044999999998,43.61053810002313]",10,,CADRE ET ROUE,AUTRE,BOLLARD,LIBRE ACCES,,,false,,INOX,,Montpellier
1523,34172,"[3.848523889907473,43.59060811310411]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
593,34057,"[3.898034506216719,43.6283438704193]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Castelnau-le-Lez
1524,34172,"[3.8472476032104126,43.590649972693804]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2259,34172,"[3.8771246192184283,43.61014581514013]",26,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1991,34172,"[3.8865233861523687,43.60550228148054]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1420,34172,"[3.8989538687506298,43.60377377162343]",5,,CADRE ET ROUE,AUTRE,RACK VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
609,34172,"[3.872928917879546,43.608534835761915]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1667,34172,"[3.851917250791555,43.64085285086857]",15,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,false,,,,Montpellier
1008,34172,"[3.8918225743544306,43.60563393422755]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1519,34172,"[3.8528022662514605,43.58961030588395]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
244,34172,"[3.869116099999999,43.61059020002313]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
808,34172,"[3.8366272444023113,43.62382330500307]",12,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Montpellier
608,34172,"[3.8750559369191113,43.60686079603197]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
62,34172,"[3.8573135590887206,43.582607926026036]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1463,34129,"[3.9252218,43.590280493020984]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Lattes
1466,34172,"[3.873849697520748,43.63821250282108]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
20,34172,"[3.8931212,43.60867790002315]",50,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
679,34116,"[3.8016644405851987,43.647593060009505]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Grabels
1535,34172,"[3.8982610451612234,43.618586437536294]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2063,34172,"[3.8704159017263056,43.60325454140018]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
749,34172,"[3.8776719000000006,43.61781560002311]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
791,34172,"[3.831527371745063,43.63428962593336]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1263,34057,"[3.8960446000000006,43.63316460002306]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Castelnau-le-Lez
2521,34172,"[3.8323602974743056,43.619537208072444]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1961,34172,"[3.894223012700495,43.60720589949505]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1238,34172,"[3.8685097753112982,43.58992321423624]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2499,34172,"[3.822967572386001,43.62557447724159]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
799,34172,"[3.9029765159337275,43.59699593331659]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
423,34172,"[3.874038939512076,43.60180897951671]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1617,34172,"[3.923399193875909,43.59541532378865]",15,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Montpellier
701,34172,"[3.8683590999999993,43.6219141000231]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
189,34172,"[3.8839041,43.6172620000231]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
957,34172,"[3.8800493692313793,43.6144918452887]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
103,34172,"[3.9001749999999995,43.602168000023156]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1676,34172,"[3.851829530706721,43.59221071162192]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,false,,,,Montpellier
611,34172,"[3.886945316966933,43.61486828684654]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1154,34172,"[3.8890193340382027,43.604207954616776]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,true,,INOX,,Montpellier
2045,34172,"[3.8731815223010404,43.60473009863888]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
208,34172,"[3.8801655155069823,43.61666596233698]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,marron,Montpellier
81,34057,"[3.924571259933124,43.63927564250699]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Castelnau-le-Lez
2480,34172,"[3.8736860018099635,43.63133617963837]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1843,34172,"[3.921581418372542,43.59573903490713]",21,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,false,,,,Montpellier
681,34095,"[3.7775200999999994,43.550193300023274]",6,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,rouge,Fabrègues
492,34172,"[3.8608888712216745,43.607944605097]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
781,34172,"[3.8839093999999994,43.58751780002318]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
769,34129,"[3.877862758399008,43.561188294802385]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Lattes
1726,34172,"[3.9036797727379877,43.59604207898646]",7,1,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1461,34172,"[3.866277000001136,43.59827109589409]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1356,34172,"[3.8619037894336357,43.602373220763184]",15,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,gris,Montpellier
379,34172,"[3.8785418226744937,43.604604092102356]",9,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1460,34172,"[3.8663522961439476,43.616029533641814]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
731,34172,"[3.9141982,43.60086620002316]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1990,34172,"[3.88420156546381,43.60461242559565]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2199,34172,"[3.8797152192880238,43.60646510163598]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2515,34172,"[3.8284841096342936,43.61703252619052]",4,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Montpellier
2535,34057,"[3.907489492293349,43.625149311197006]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1618,34172,"[3.9234325787044733,43.5973189176504]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,true,,,,Montpellier
1255,34129,"[3.9002977999999984,43.57203490002322]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Lattes
10,34172,"[3.8740630505008435,43.615208007264584]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
823,34172,"[3.8806511999999995,43.60726770002315]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1723,34198,"[3.9502607462486625,43.572980890039275]",10,,CADRE ET ROUE,RATELIER,RACK VELOS,LIBRE ACCES,true,,,,,,Pérols
1006,34172,"[3.888750496281072,43.60541329087853]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
303,34172,"[3.828990599999999,43.6179296000231]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
695,34172,"[3.8679153999999984,43.62256940002311]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1538,34172,"[3.8814950103072303,43.609128346728696]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2264,34172,"[3.876422354658461,43.59996630724084]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
168,34172,"[3.8740416999999994,43.61272750002313]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
558,34172,"[3.8597666572984886,43.60521856162554]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
61,34172,"[3.857243584819898,43.5825738926167]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1085,34172,"[3.860199103209115,43.615187848345506]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1690,34172,"[3.8382051799471673,43.61733723958173]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
247,34172,"[3.870680814367195,43.607325545366905]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
253,34172,"[3.8482344157632102,43.610772200085606]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2153,34172,"[3.8692150449233944,43.618477265095564]",15,,ROUE,RATELIER,ABRI VELOS,LIBRE ACCES,true,,,,,,Montpellier
565,34172,"[3.875614876814546,43.610217555481356]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2227,34172,"[3.8675158776002725,43.600858996898864]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2228,34172,"[3.8680005838885045,43.60090325438687]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
853,34172,"[3.870025439432942,43.596715624633006]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
374,34172,"[3.8702120403221527,43.608440528581234]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
711,34172,"[3.8652728689655196,43.60669501004078]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
579,34172,"[3.861519046666076,43.6170272055416]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
960,34172,"[3.879767927922125,43.61778005215474]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
971,34172,"[3.8705072284237745,43.6100677330782]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1200,34172,"[3.8532432658249363,43.611113526008474]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
220,34172,"[3.8655049999999993,43.60952130002312]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
257,34202,"[3.7616856,43.58199930002319]",6,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,false,,,,Pignan
1509,34172,"[3.8703925217748596,43.628006481809365]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1844,34172,"[3.922045015218437,43.59737297488304]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1390,34172,"[3.8990865290709738,43.601144235412704]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
567,34172,"[3.889881,43.61346100002312]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1336,34172,"[3.85691980236104,43.614943991710746]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1988,34172,"[3.888299200951588,43.604442885695526]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1090,34172,"[3.8656248607263235,43.61688922751676]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
923,34088,"[3.7192498456347836,43.55837430583507]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Cournonterral
484,34172,"[3.8752681681440797,43.59292738057525]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1084,34172,"[3.85920422045424,43.61580060794672]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2102,34172,"[3.862969838239246,43.61100608257787]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1408,34172,"[3.909995823763434,43.60248991572474]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1115,34172,"[3.866782715364838,43.61185727588371]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
841,34172,"[3.86835265138054,43.605083753677505]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
500,34172,"[3.890352121829754,43.61419766146295]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1329,34172,"[3.863875374652756,43.59989748458695]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
362,34172,"[3.8670293607346795,43.60735157396343]",11,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1121,34172,"[3.8845002110051685,43.595492167732814]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1313,34249,"[3.9751099532114025,43.72647314748816]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Saint-Drézéry
1290,34172,"[3.9116160999999994,43.605245500023145]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,gris,Montpellier
293,34172,"[3.8520285999999992,43.59026180002318]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1391,34172,"[3.9024609402765895,43.59886316970521]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
566,34172,"[3.8662536999999997,43.60004790002316]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1088,34172,"[3.860961745625555,43.616246870745435]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
369,34172,"[3.8673003818397897,43.606436114060166]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
831,34172,"[3.880880410713148,43.60115939080753]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1272,34057,"[3.914288299999999,43.63821100002306]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1423,34172,"[3.8976037000006047,43.607794752077375]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1236,34172,"[3.8650443829504812,43.590185311401235]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
386,34172,"[3.9235120442114804,43.59545538714031]",15,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Montpellier
389,34172,"[3.8875762999999997,43.62150020002312]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
782,34172,"[3.8822874484663865,43.61510350508096]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1459,34172,"[3.86610620000113,43.616063906000555]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
529,34172,"[3.863998297522099,43.615218020181956]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1191,34172,"[3.8467733360505263,43.62184253529904]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
838,34172,"[3.870150854309504,43.60295904804491]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1489,34172,"[3.8569082765172413,43.61513128134688]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
937,34172,"[3.8990146542217015,43.6040554033267]",10,,CADRE ET ROUE,AUTRE,BOLLARD,LIBRE ACCES,,,false,,,,Montpellier
674,34172,"[3.8686550999999993,43.59821140002317]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
313,34172,"[3.8731108999999995,43.61102300002314]",15,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
543,34095,"[3.7768048999999992,43.55074840002329]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Fabrègues
1349,34172,"[3.8632937348795524,43.61859817014474]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1964,34172,"[3.8935992794858216,43.60698008109993]",6,0,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1628,34172,"[3.9246945124993986,43.59496809279517]",46,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,true,,,,Montpellier
2395,34172,"[3.85643630599637,43.615609675935765]",5,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Montpellier
468,34172,"[3.8653125683778016,43.62719241343325]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2554,34057,"[3.8977476520309677,43.63299753184288]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1982,34172,"[3.8807280818785075,43.60357545793187]",3,3,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2478,34172,"[3.8680390972175656,43.63439890633015]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
188,34172,"[3.881186257608385,43.61610263590988]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
597,34172,"[3.8916547609328136,43.61793834249058]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
164,34172,"[3.8736351000000004,43.611511500023134]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1014,34172,"[3.8786592498785466,43.60744729672502]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1493,34172,"[3.912447368404212,43.616041185926136]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
560,34172,"[3.877015841390737,43.6060908572923]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
705,34172,"[3.866902881466413,43.62206453308203]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
995,34172,"[3.859385196743488,43.63386175583722]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2336,34172,"[3.8721960342737156,43.60813037608031]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2524,34172,"[3.8284044851351013,43.613636769618545]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
1692,34172,"[3.8384833810025762,43.6171239260385]",6,1,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1359,34202,"[3.7612364660809536,43.58183165630421]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Pignan
2522,34172,"[3.8312844249725897,43.61132349833755]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
394,34172,"[3.8783288972805843,43.610710224072406]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1473,34172,"[3.906759649998429,43.60777422402489]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1184,34172,"[3.8952862256179084,43.59069884282678]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
268,34172,"[3.8470630999999993,43.61114580002313]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
