FID,objectid,code_insee,velo_plus,r_ppal,r_scdr,geom
sc_schema_cyclable_pm35_2023.67,67,59350,Oui,Oui,Non,"MULTILINESTRING ((702853.652892583 7058803.83448709, 702775.860825539 7058900.94676045, 702605.567000002 7059118.051, 702583.399290425 7059146.24332294, 702514.656999998 7059233.668, 702491.990999997 7059258.881, 702476.714000002 7059271.024, 702476.7284 7059271.0413, 702480.5317 7059275.6084))"
sc_schema_cyclable_pm35_2023.68,68,59523,Non,Oui,Non,"MULTILINESTRING ((710572.044269915 7055303.36054032, 710554.353500001 7055316.3476, 710448.461000003 7055394.1456, 710382.980700001 7055442.3817, 710370.619099997 7055453.8354, 710361.379000001 7055464.7378, 710352.489699997 7055477.758, 710345.303999998 7055490.0013, 710339.464199998 7055503.1385, 710334.756700002 7055517.6149, 710331.327600002 7055531.0909, 710328.1765 7055547.6872, 710326.371600002 7055564.9546, 710325.037100002 7055596.3737, 710323.005800001 7055659.5473))"
sc_schema_cyclable_pm35_2023.69,69,59193,Non,Oui,Non,"MULTILINESTRING ((700230.997000001 7055737.276, 700305.187799998 7055638.7351, 700399.655699998 7055508.4345, 700451.775899999 7055453.0567, 700516.963213301 7055398.53639036, 700596.311696923 7055332.17219037, 700630.939199999 7055303.211, 700642.623845839 7055289.93300226, 700702.604599997 7055221.7731, 700744.952299997 7055146.8503, 700728.664700002 7055036.0948, 700634.196800001 7054856.9315, 700605.201120244 7054797.78031899, 700552.758900002 7054690.7982, 700559.082351585 7054631.77905974, 700562.531400003 7054599.5878, 700595.106600001 7054508.3774, 700679.802000001 7054381.3343, 700787.299999997 7054290.1239, 700845.935199998 7054202.171, 700891.540399998 7054088.158, 700895.508999757 7054008.37050495, 700895.508999807 7054008.37050394, 700895.509000003 7054008.3705))"
sc_schema_cyclable_pm35_2023.70,70,00000,Non,Non,Non,"MULTILINESTRING ((707127.414000002 7050070.03999886, 707128.322000002 7050073.55699885, 707130.024000001 7050079.45699886, 707132.519000001 7050085.35599886, 707136.037000001 7050091.25599886, 707140.688000001 7050097.04399886, 707143.979000002 7050100.56099886))"
sc_schema_cyclable_pm35_2023.71,71,59256,Non,Non,Non,"MULTILINESTRING ((710426.076000002 7050880.83399886, 710432.996000002 7050827.61999886, 710426.416000002 7050787.79599885, 710428.232000002 7050777.47199886, 710441.418000002 7050765.55399886, 710457.245000002 7050745.57999886, 710451.299000002 7050729.39599886, 710421.059000002 7050697.41799886, 710403.151000002 7050688.02099886, 710376.720000002 7050689.19699886, 710337.025000002 7050674.70499886, 710327.664000002 7050660.64199886, 710326.115000002 7050648.46499886, 710313.523000002 7050622.93599886, 710305.354000002 7050608.63899886, 710292.304000002 7050596.95399886, 710286.291000002 7050590.93999886, 710225.704000002 7050565.41099886, 710197.112000002 7050546.80299886, 710181.112000002 7050539.42799886, 710135.614000002 7050526.49499886, 710098.059000002 7050516.50899886))"
sc_schema_cyclable_pm35_2023.72,72,00000,Non,Non,Non,"MULTILINESTRING ((706522.779000001 7050947.09599886, 706508.255000001 7050932.91299886, 706497.590000001 7050921.22699886, 706485.677000001 7050904.31999886, 706477.053000001 7050889.34299886, 706473.309000001 7050883.89799886, 706460.488000001 7050874.93499886, 706385.945000001 7050826.37299886))"
sc_schema_cyclable_pm35_2023.73,73,59350,Non,Option,Non,"MULTILINESTRING ((704227.426200002 7061479.1433, 704228.908399999 7061478.1944, 704235.1514 7061474.1365, 704241.415100001 7061469.9991, 704247.682700001 7061465.7885, 704253.937200002 7061461.5105, 704255.949900001 7061460.1074, 704260.161700003 7061457.1712, 704266.339299999 7061452.7767, 704272.453199998 7061448.3328, 704278.486299999 7061443.8458, 704284.224399999 7061439.4719, 704284.421800002 7061439.3215, 704290.242700003 7061434.766, 704295.9322 7061430.1854, 704301.473300003 7061425.5856, 704306.849200003 7061420.9727, 704312.042800002 7061416.3526, 704317.0374 7061411.7315, 704321.815899998 7061407.1153, 704326.361500002 7061402.5101, 704330.657300003 7061397.9218, 704334.686300002 7061393.3565, 704338.431699999 7061388.8203, 704341.876400001 7061384.3191, 704345.003700003 7061379.8589, 704347.796599999 7061375.4458, 704352.311499998 7061366.785, 704353.040100001 7061364.8578, 704353.716600001 7061362.5135, 704354.342500001 7061359.7709, 704354.874399997 7061356.8921))"
sc_schema_cyclable_pm35_2023.74,74,59343,Non,Non,Oui,"MULTILINESTRING ((708538.603200004 7054388.9236, 708548.072310376 7054383.35460387, 708556.503208377 7054374.51902276, 708592.421213288 7054315.6897507, 708599.094313589 7054304.63209407, 708615.317152833 7054277.05784187, 708625.771466355 7054262.01711983, 708639.530691892 7054250.7534401, 708653.19594618 7054244.98950753, 708667.58872044 7054240.90615124, 708709.675763262 7054230.58673209, 708738.40826365 7054223.97690805, 708758.170288564 7054218.3113446, 708775.032084566 7054212.71322832, 708789.465781944 7054207.04766487, 708837.488176959 7054180.27113282, 708909.319427928 7054140.07261115, 708923.65195453 7054131.70916033, 708936.129683572 7054121.2885704, 708946.482826317 7054107.56306845, 708971.281841935 7054070.41759815, 708990.34035772 7054084.40444551, 709009.602920961 7054101.37161098, 709022.209152164 7054115.96972763, 709055.089654369 7054166.35277408, 709072.693369395 7054196.29932378, 709084.631520964 7054216.93816209, 709090.651182137 7054236.05943876, 709100.565918187 7054272.48091812, 709117.309681617 7054358.83017545, 709124.189294386 7054380.78423385, 709133.395835003 7054398.79263198, 709158.182675126 7054436.83284376, 709170.221997472 7054456.45997431, 709194.098300611 7054493.69081988, 709235.173635672 7054548.32303893, 709252.271496819 7054573.7169037, 709263.501452956 7054594.86159589, 709280.801655654 7054634.21702776, 709296.88780904 7054673.87597196, 709305.79083733 7054702.40613079, 709308.724789834 7054719.80750427, 709307.915423626 7054733.1620467, 709303.666251033 7054742.26741654, 709296.685467489 7054747.73063845, 709281.914534191 7054753.59854346, 709273.416189006 7054757.13952062, 709262.38857442 7054769.17884296))"
sc_schema_cyclable_pm35_2023.75,75,59220,Non,Non,Oui,"MULTILINESTRING ((705094.355638181 7055929.432836, 705105.637271474 7055940.61377216))"
sc_schema_cyclable_pm35_2023.76,76,00000,Non,Oui,Non,"MULTILINESTRING ((699129.441 7055599.744, 699129.45619484 7055599.74299521, 699150.131514694 7055598.37579688, 699236.310999997 7055592.677, 699295.927331982 7055588.50330124, 699342.553999998 7055585.239, 699427.354000002 7055585.621, 699472.271899998 7055589.6207))"
