FID,objectid,nom,type,commune,adresse,code_insee,latitude,longitude,geom,date_modification
point_vente.150,150,LE METRO café-tabac-PMU,Point de vente,LILLE,231 RUE PIERRE LEGRAND 59800 LILLE,59350,50.631336,3.09544,POINT (50.63133620000001 3.09544),2026-05-27T04:00:47.935
point_vente.152,152,LE CALUMET café-tabac,Point de vente,LOOS,15 RUE DU MARÉCHAL FOCH 59120 LOOS,59360,50.615881,3.021556,POINT (50.6158805 3.0215561),2026-05-27T04:00:47.935
point_vente.153,153,LE SEVEN café-tabac,Point de vente,RONCHIN,10 PL. DE LA RÉPUBLIQUE 59790 RONCHIN,59507,50.599004,3.099279,POINT (50.5990044 3.099279),2026-05-27T04:00:47.935
point_vente.154,154,MAG PRESSE  marchand de journaux,Point de vente,LOMME,66 AV. DE LA RÉPUBLIQUE 59160 LOMME,59350,50.63952,3.013148,POINT (50.63952 3.0131477),2026-05-27T04:00:47.935
point_vente.157,157,LE FLANDRE café-tabac,Point de vente,CROIX,1 RUE JEAN JAURÈS 59170 CROIX,59163,50.675327,3.149351,POINT (50.675327 3.149351),2026-05-27T04:00:47.935
point_vente.159,159,CIVETTE DE LA TOUR,Point de vente,CROIX,3 AV. JUSSIEU 59170 CROIX,59163,50.670632,3.153497,POINT (50.6706319 3.1534973),2026-05-27T04:00:47.935
point_vente.160,160,LE FLANDRE café-tabac,Point de vente,CROIX,1 RUE JEAN JAURÈS 59170 CROIX,59163,50.675327,3.149351,POINT (50.675327 3.149351),2026-05-27T04:00:47.935
point_vente.162,162,LE LONCHAMP café-tabac,Point de vente,FRETIN,131 RUE JEAN BAPTISTE LEBAS 59273 FRETIN,59256,50.559676,3.1492,POINT (50.55967649999999 3.1492003),2026-05-27T04:00:47.935
point_vente.163,163,PONCE-PILATE café-tabac,Point de vente,HAUBOURDIN,162 bis RUE SADI CARNOT 59320 HAUBOURDIN,59286,50.611175,2.993659,POINT (50.611174994988026 2.9936590235692533),2026-05-27T04:00:47.935
point_vente.164,164,AU PETIT LANNOY café-tabac,Point de vente,HEM,404 RUE JULES GUESDE 59510 HEM,59299,50.662812,3.202006,POINT (50.6628118 3.2020064),2026-05-27T04:00:47.935
point_vente.165,165,LE MARIGNY café-tabac,Point de vente,LA MADELEINE,140 RUE DU GÉNÉRAL DE GAULLE 59110 LA MADELEINE,59368,50.653159,3.07322,POINT (50.653159 3.0732201),2026-05-27T04:00:47.935
point_vente.166,166,LE ROYAL café-tabac,Point de vente,LAMBERSART,276 RUE DE LILLE 59130 LAMBERSART,59328,50.649239,3.042401,POINT (50.6492393 3.042401),2026-05-27T04:00:47.935
point_vente.167,167,TABAC DU MONT DE TERRE café-tabac,Point de vente,LILLE,245 RUE DU LONG POT 59000 LILLE,59350,50.623467,3.090444,POINT (50.6234669 3.090444),2026-05-27T04:00:47.935
point_vente.168,168,EURO PRESSE marchand de journaux,Point de vente,LOMME,CENTRE COMMERCIAL LOMME 59160 LOMME,59350,50.651698,2.977672,POINT (50.651698 2.9776722),2026-05-27T04:00:47.935
point_vente.169,169,MONOPRIX accueil du supermarché,Point de vente,MARCQ-EN-BARŒUL,1002 AV. DE LA RÉPUBLIQUE 59700 MARCQ-EN-BARŒUL,59378,50.663933,3.102546,POINT (50.663933 3.102546),2026-05-27T04:00:47.935
point_vente.171,171,LA PRESSE DU PARC librairie-tabac,Point de vente,ROUBAIX,118 BD DU GÉNÉRAL DE GAULLE 59100 ROUBAIX,59512,50.681327,3.167288,POINT (50.68132720000001 3.1672877),2026-05-27T04:00:47.935
point_vente.172,172,LE ST ANDRE café-tabac,Point de vente,SAINT-ANDRÉ-LEZ-LILLE,80 RUE DU GÉNÉRAL LECLERC 59350 SAINT-ANDRÉ-LEZ-LILLE,59527,50.661794,3.050287,POINT (50.6617936 3.0502867),2026-05-27T04:00:47.935
point_vente.173,173,LE FLASH civette,Point de vente,SECLIN,8 RUE GABRIEL PÉRI 59113 SECLIN,59560,50.549223,3.034404,POINT (50.5492229 3.0344037),2026-05-27T04:00:47.935
point_vente.174,174,LE JEAN BART café-tabac,Point de vente,TOURCOING,122 RUE DE ROUBAIX 59200 TOURCOING,59599,50.711748,3.166003,POINT (50.7117477 3.1660034),2026-05-27T04:00:47.935
point_vente.175,175,AUCHAN accueil principal,Point de vente,VILLENEUVE-D'ASCQ,CENTRE COMMERCIAL V2 59650 VILLENEUVE-D'ASCQ,59009,50.617811,3.131534,POINT (50.6178109 3.1315339),2026-05-27T04:00:47.935
point_vente.176,176,TABAC PRESSE café-tabac,Point de vente,VILLENEUVE-D'ASCQ,151 RUE JEAN JAURÈS 59491 VILLENEUVE-D'ASCQ,59009,50.665531,3.140726,POINT (50.6655311 3.1407258),2026-05-27T04:00:47.935
point_vente.177,177,LA BALLON café-tabac,Point de vente,WATTRELOS,204 RUE GEORGES PHILIPPOT 59150 WATTRELOS,59650,50.709513,3.206946,POINT (50.7095125 3.2069465),2026-05-27T04:00:47.935
point_vente.178,178,LE NARVAL civette,Point de vente,WAVRIN,12 PL. DE LA RÉPUBLIQUE 59136 WAVRIN,59653,50.568708,2.931916,POINT (50.5687085 2.9319163),2026-05-27T04:00:47.935
point_vente.180,180,MASSENA,Point de vente,LILLE,12 RUE MASSÉNA 59800 LILLE,59350,50.633362,3.054925,POINT (50.63336229999999 3.0549253),2026-05-27T04:00:47.935
point_vente.183,183, LE PACHA - Café tabac,Point de vente,ARMENTIÈRES,7 RUE DE LILLE 59280 ARMENTIÈRES,59017,50.685201,2.88215,POINT (50.6852014 2.8821503),2026-05-27T04:00:47.935
point_vente.184,184,LE LUTETIA,Point de vente,MONS-EN-BARŒUL,119 RUE VOLTAIRE 59370 MONS-EN-BARŒUL,59410,50.635309,3.114323,POINT (50.6353088 3.1143231),2026-05-27T04:00:47.935
point_vente.185,185,LE SAINT VINCENT ,Point de vente,LESQUIN,55 RUE PASTEUR 59810 LESQUIN,59343,50.5877,3.105211,POINT (50.5877 3.1052108),2026-05-27T04:00:47.935
point_vente.187,187,LE CAMPANELLA,Point de vente,NOYELLES-LEZ-SECLIN,3 RUE D'EMMERIN 59139 NOYELLES-LEZ-SECLIN,,50.576374,3.01765,POINT (50.57637399999999 3.01765),2026-05-27T04:00:47.935
