FID,objectid,nom,type,commune,adresse,code_insee,latitude,longitude,geom,date_modification
point_vente.101,101,LE FLINT café-tabac,Point de vente,LILLE,1 RUE DE DOUAI 59000 LILLE,59350,50.624177,3.068472,POINT (50.6241774 3.0684716),2026-05-27T04:00:47.935
point_vente.103,103,LE CROISE LAROCHE café-tabac-brasserie,Point de vente,MARCQ-EN-BARŒUL,1035 AV. DE LA RÉPUBLIQUE 59700 MARCQ-EN-BARŒUL,59378,50.665098,3.101937,POINT (50.6650977 3.1019372),2026-05-27T04:00:47.935
point_vente.105,105,LE SAVANNAH café-brasserie-loto,Point de vente,QUESNOY-SUR-DEÛLE,20 PL. DU GÉNÉRAL DE GAULLE 59890 QUESNOY-SUR-DEÛLE,59482,50.712118,2.999843,POINT (50.71211830000001 2.9998428),2026-05-27T04:00:47.935
point_vente.106,106,LE LION NOIR café-tabac,Point de vente,FOURNES-EN-WEPPES,863 RUE FAIDHERBE 59134 FOURNES-EN-WEPPES,59250,50.583973,2.884208,POINT (50.5839727 2.8842082),2026-05-27T04:00:47.935
point_vente.107,107,LE LONGCHAMP café-tabac,Point de vente,LA MADELEINE,68 RUE DU GÉNÉRAL DE GAULLE 59110 LA MADELEINE,59368,50.650327,3.071886,POINT (50.6503272 3.0718855),2026-05-27T04:00:47.935
point_vente.108,108,TABAC PRESSE café-tabac,Point de vente,LILLE,331 RUE LÉON GAMBETTA 59000 LILLE,59350,50.627251,3.049699,POINT (50.6272515 3.0496989),2026-05-27T04:00:47.935
point_vente.109,109,LE ST MAURICE café-tabac-brasserie,Point de vente,LILLE,158 RUE DU FAUBOURG DE ROUBAIX 59800 LILLE,59350,50.641932,3.085756,POINT (50.641932 3.085756),2026-05-27T04:00:47.935
point_vente.110,110,CARRE D'AS café-tabac,Point de vente,MARCQ-EN-BARŒUL,43 RUE JULES GUESDE 59700 MARCQ-EN-BARŒUL,59378,50.667558,3.07331,POINT (50.6675585 3.0733104),2026-05-27T04:00:47.935
point_vente.111,111,LA TABATIERE civette,Point de vente,HAUBOURDIN,110 RUE ALBERT VANDERHAEGHEN 59320 HAUBOURDIN,59286,50.612133,2.973609,POINT (50.6121326 2.9736086),2026-05-27T04:00:47.935
point_vente.112,112,LE DJANGO café-tabac,Point de vente,LOOS,35 RUE GEORGES POTIÉ 59120 LOOS,59360,50.613456,3.006391,POINT (50.61345619999999 3.0063915),2026-05-27T04:00:47.935
point_vente.113,113,LA ROTONDE café-tabac,Point de vente,HAUBOURDIN,30 place Charles Frémaux 59320 HAUBOURDIN,59286,50.610538,2.983494,POINT (50.61053788676042 2.9834944534566206),2026-05-27T04:00:47.935
point_vente.115,115,LE RALLYE café-tabac,Point de vente,PÉRENCHIES,18 RUE DE LA PRÉVOTÉ 59840 PÉRENCHIES,59457,50.669192,2.97261,POINT (50.669192 2.9726098),2026-05-27T04:00:47.935
point_vente.116,116,LE GAMBETTA civette,Point de vente,LILLE,164 RUE LÉON GAMBETTA 59800 LILLE,59350,50.629394,3.054231,POINT (50.6293945 3.0542314),2026-05-27T04:00:47.935
