FID,objectid,mode_transport,libelle_arret_commercial,code_arret_physique,url_plan,code_insee,commune
cartographie_station.21,21,Tramway,BOL D'AIR,BOA001,media.ilevia.fr/opendata/cartographie/Tramway_BOA001_Bol D'air.pdf,59512,Roubaix
cartographie_station.22,22,Tramway,BOL D'AIR,BOA012,media.ilevia.fr/opendata/cartographie/Tramway_BOA012_Bol D'air.pdf,59512,Roubaix
cartographie_station.23,23,Tramway,JEAN MOULIN,QUI021,media.ilevia.fr/opendata/cartographie/Tramway_QUI021_Jean moulin.pdf,59512,Roubaix
cartographie_station.24,24,Tramway,JEAN MOULIN,QUI032,media.ilevia.fr/opendata/cartographie/Tramway_QUI032_Jean moulin.pdf,59512,Roubaix
cartographie_station.25,25,Tramway,ROUBAIX EUROTELEPORT,ROU121,media.ilevia.fr/opendata/cartographie/Tramway_ROU121_Euroteleport.pdf,59512,Roubaix
cartographie_station.26,26,Tramway,ROUBAIX EUROTELEPORT,ROU122,media.ilevia.fr/opendata/cartographie/Tramway_ROU121_Euroteleport.pdf,59512,Roubaix
cartographie_station.27,27,Tramway,PARC BARBIEUX,PBA021,media.ilevia.fr/opendata/cartographie/Tramway_PBA021_Parc barbieux.pdf,59512,Roubaix
cartographie_station.28,28,Tramway,PARC BARBIEUX,PBA032,media.ilevia.fr/opendata/cartographie/Tramway_PBA032_Parc barbieux.pdf,59512,Roubaix
cartographie_station.29,29,Tramway,ALFRED MONGY,MAM021,media.ilevia.fr/opendata/cartographie/Tramway_MAM021_Alfred mongy.pdf,59512,Roubaix
cartographie_station.30,30,Tramway,ALFRED MONGY,MAM032,media.ilevia.fr/opendata/cartographie/Tramway_MAM032_Alfred mongy.pdf,59512,Roubaix
cartographie_station.31,31,Tramway,PONT HYDRAULIQUE,PHY001,media.ilevia.fr/opendata/cartographie/Tramway_PHY001_Pont hydraulique.pdf,59599,Tourcoing
cartographie_station.32,32,Tramway,PONT HYDRAULIQUE,PHY012,media.ilevia.fr/opendata/cartographie/Tramway_PHY012_Pont hydraulique.pdf,59599,Tourcoing
cartographie_station.33,33,Tramway,VICTOIRE,ICT021,media.ilevia.fr/opendata/cartographie/Tramway_ICT021_Victoire.pdf,59599,Tourcoing
cartographie_station.34,34,Tramway,VICTOIRE,ICT032,media.ilevia.fr/opendata/cartographie/Tramway_ICT032_Victoire.pdf,59599,Tourcoing
cartographie_station.35,35,Tramway,MA CAMPAGNE,CAM021,media.ilevia.fr/opendata/cartographie/Tramway_CAM021_Ma campagne.pdf,59599,Tourcoing
cartographie_station.36,36,Tramway,MA CAMPAGNE,CAM032,media.ilevia.fr/opendata/cartographie/Tramway_CAM032_Ma campagne.pdf,59599,Tourcoing
cartographie_station.37,37,Tramway,LE SART,SNO031,media.ilevia.fr/opendata/cartographie/Tramway_SNO031_Le sart.pdf,59009,Villeneuve-d'Ascq
cartographie_station.38,38,Tramway,LE SART,SNO042,media.ilevia.fr/opendata/cartographie/Tramway_SNO042_Le sart.pdf,59009,Villeneuve-d'Ascq
cartographie_station.39,39,Tramway,PLANCHE EPINOY,PLE001,media.ilevia.fr/opendata/cartographie/Tramway_PLE001_Planche epinoy.pdf,59009,Villeneuve-d'Ascq
cartographie_station.40,40,Tramway,PLANCHE EPINOY,PLE012,media.ilevia.fr/opendata/cartographie/Tramway_PLE012_Planche epinoy.pdf,59009,Villeneuve-d'Ascq
cartographie_station.41,41,Tramway,PONT DE WASQUEHAL,PDW001,media.ilevia.fr/opendata/cartographie/Tramway_PDW001_Pont de wasquehal.pdf,59646,Wasquehal
cartographie_station.42,42,Tramway,PONT DE WASQUEHAL,PDW012,media.ilevia.fr/opendata/cartographie/Tramway_PDW012_Pont de wasquehal.pdf,59646,Wasquehal
cartographie_station.43,43,Tramway,WASQUEHAL PAVÉ DE LILLE,PVL021,media.ilevia.fr/opendata/cartographie/Tramway_PVL021_Pave de lille.pdf,59646,Wasquehal
cartographie_station.44,44,Tramway,WASQUEHAL PAVÉ DE LILLE,PVL032,media.ilevia.fr/opendata/cartographie/Tramway_PVL032_Pave de lille.pdf,59646,Wasquehal
cartographie_station.45,45,Tramway,LA TERRASSE,LAT001,media.ilevia.fr/opendata/cartographie/Tramway_LAT001_La terrasse.pdf,59646,Wasquehal
cartographie_station.46,46,Tramway,LA TERRASSE,LAT012,media.ilevia.fr/opendata/cartographie/Tramway_LAT012_La terrasse.pdf,59646,Wasquehal
cartographie_station.47,47,Tramway,CARTELOT,TEL001,media.ilevia.fr/opendata/cartographie/Tramway_TEL001_Cartelot.pdf,59646,Wasquehal
cartographie_station.48,48,Tramway,CARTELOT,TEL012,media.ilevia.fr/opendata/cartographie/Tramway_TEL012_Cartelot.pdf,59646,Wasquehal
cartographie_station.49,49,Tramway,GRAND COTTIGNIES,GDC001,media.ilevia.fr/opendata/cartographie/Tramway_GDC001_Grand cottignies.pdf,59646,Wasquehal
cartographie_station.50,50,Tramway,GRAND COTTIGNIES,GDC012,media.ilevia.fr/opendata/cartographie/Tramway_GDC012_Grand cottignies.pdf,59646,Wasquehal
cartographie_station.51,51,Tramway,TRIEZ,TRI021,media.ilevia.fr/opendata/cartographie/Tramway_TRI021_Triez.pdf,59421,Mouvaux
cartographie_station.52,52,Tramway,TRIEZ,TRI032,media.ilevia.fr/opendata/cartographie/Tramway_TRI032_Triez.pdf,59421,Mouvaux
cartographie_station.53,53,Tramway,LA MARQUE,ARQ001,media.ilevia.fr/opendata/cartographie/Tramway_ARQ001_La marque.pdf,59163,Croix
cartographie_station.54,54,Tramway,LA MARQUE,ARQ012,media.ilevia.fr/opendata/cartographie/Tramway_ARQ012_La marque.pdf,59163,Croix
cartographie_station.55,55,Tramway,VILLA CAVROIS,CLD001,media.ilevia.fr/opendata/cartographie/Tramway_CLD001_Villa cavrois.pdf,59163,Croix
cartographie_station.56,56,Tramway,VILLA CAVROIS,CLD012,media.ilevia.fr/opendata/cartographie/Tramway_CLD012_Villa cavrois.pdf,59163,Croix
cartographie_station.57,57,Tramway,CERISAIE CENTRE D'AFFAIRES,CDA001,media.ilevia.fr/opendata/cartographie/Tramway_CDA001_Cerisaie.pdf,59378,Marcq-en-Barœul
cartographie_station.58,58,Tramway,CERISAIE CENTRE D'AFFAIRES,CDA012,media.ilevia.fr/opendata/cartographie/Tramway_CDA012_Cerisaie.pdf,59378,Marcq-en-Barœul
