FID,objectid,mode_transport,libelle_arret_commercial,code_arret_physique,url_plan,code_insee,commune
cartographie_station.98,98,Metro,MERCURE,MER098,media.ilevia.fr/opendata/cartographie/Metro_1805_Mercure.pdf,59599,Tourcoing
cartographie_station.99,99,Metro,MERCURE,MER099,media.ilevia.fr/opendata/cartographie/Metro_1805_Mercure.pdf,59599,Tourcoing
cartographie_station.100,100,Metro,PHALEMPINS,TPH098,media.ilevia.fr/opendata/cartographie/Metro_1818_Phalempins.pdf,59599,Tourcoing
cartographie_station.101,101,Metro,PHALEMPINS,TPH099,media.ilevia.fr/opendata/cartographie/Metro_1818_Phalempins.pdf,59599,Tourcoing
cartographie_station.102,102,Metro,GARE DE TOURCOING,SEB098,media.ilevia.fr/opendata/cartographie/Metro_1822_Gare De Tourcoing.pdf,59599,Tourcoing
cartographie_station.103,103,Metro,GARE DE TOURCOING,SEB099,media.ilevia.fr/opendata/cartographie/Metro_1822_Gare De Tourcoing.pdf,59599,Tourcoing
cartographie_station.104,104,Metro,TRIOLO,TIO098,media.ilevia.fr/opendata/cartographie/Metro_1903_Triolo.pdf,59009,Villeneuve-d'Ascq
cartographie_station.105,105,Metro,TRIOLO,TIO099,media.ilevia.fr/opendata/cartographie/Metro_1903_Triolo.pdf,59009,Villeneuve-d'Ascq
cartographie_station.106,106,Metro,V. D'ASCQ HOTEL DE VILLE,HDV099,media.ilevia.fr/opendata/cartographie/Metro_1942_V. D'ascq Hotel De Ville.pdf,59009,Villeneuve-d'Ascq
cartographie_station.107,107,Metro,VILLENEUVE D'ASCQ HOTEL DE VILLE,HDV098,media.ilevia.fr/opendata/cartographie/Metro_1942_V. D'ascq Hotel De Ville.pdf,59009,Villeneuve-d'Ascq
cartographie_station.108,108,Metro,LES PRES-EDGARD PISANI,PRS098,media.ilevia.fr/opendata/cartographie/Metro_1968_Les Pres-Edgard Pisani.pdf,59009,Villeneuve-d'Ascq
cartographie_station.109,109,Metro,LES PRES-EDGARD PISANI,PRS099,media.ilevia.fr/opendata/cartographie/Metro_1968_Les Pres-Edgard Pisani.pdf,59009,Villeneuve-d'Ascq
cartographie_station.110,110,Metro,V. D'ASCQ PONT DE BOIS,PDB098,media.ilevia.fr/opendata/cartographie/Metro_1971_V. D'ascq Pont De Bois.pdf,59009,Villeneuve-d'Ascq
cartographie_station.111,111,Metro,V. D'ASCQ PONT DE BOIS,PDB099,media.ilevia.fr/opendata/cartographie/Metro_1971_V. D'ascq Pont De Bois.pdf,59009,Villeneuve-d'Ascq
cartographie_station.112,112,Metro,WASQUEHAL HOTEL DE VILLE,WMI098,media.ilevia.fr/opendata/cartographie/Metro_2044_Wasquehal Hotel De Ville.pdf,59646,Wasquehal
cartographie_station.113,113,Metro,WASQUEHAL HOTEL DE VILLE,WMI099,media.ilevia.fr/opendata/cartographie/Metro_2044_Wasquehal Hotel De Ville.pdf,59646,Wasquehal
cartographie_station.114,114,Metro,WASQUEHAL PAVÉ DE LILLE,PVL096,media.ilevia.fr/opendata/cartographie/Metro_2071_Wasquehal Pave De Lille.pdf,59646,Wasquehal
cartographie_station.115,115,Metro,WASQUEHAL PAVÉ DE LILLE,PVL097,media.ilevia.fr/opendata/cartographie/Metro_2071_Wasquehal Pave De Lille.pdf,59646,Wasquehal
cartographie_station.116,116,Metro,CROIX CENTRE,CPL098,media.ilevia.fr/opendata/cartographie/Metro_302_Croix Centre.pdf,59163,Croix
cartographie_station.117,117,Metro,CROIX CENTRE,CPL099,media.ilevia.fr/opendata/cartographie/Metro_302_Croix Centre.pdf,59163,Croix
cartographie_station.118,118,Metro,4 CANTONS STADE PIERRE MAUROY,4CA098,media.ilevia.fr/opendata/cartographie/Metro_4703_4 Cantons - Stade Pierre-Mauroy.pdf,59009,Villeneuve-d'Ascq
cartographie_station.119,119,Metro,4 CANTONS STADE PIERRE MAUROY,4CA099,media.ilevia.fr/opendata/cartographie/Metro_4703_4 Cantons - Stade Pierre-Mauroy.pdf,59009,Villeneuve-d'Ascq
cartographie_station.120,120,Metro,MARBRERIE,MRB098,media.ilevia.fr/opendata/cartographie/Metro_488_Marbrerie.pdf,59350,Lille
cartographie_station.121,121,Metro,SQUARE FLANDRES,LZN099,media.ilevia.fr/opendata/cartographie/Metro_492_Square Flandres.pdf,59350,Lille
cartographie_station.122,122,Metro,MAIRIE D'HELLEMMES,MHE098,media.ilevia.fr/opendata/cartographie/Metro_494_Mairie D'hellemmes.pdf,59350,Lille
cartographie_station.123,123,Metro,MAIRIE D'HELLEMMES,MHE099,media.ilevia.fr/opendata/cartographie/Metro_494_Mairie D'hellemmes.pdf,59350,Lille
cartographie_station.124,124,Metro,GAMBETTA,CGA098,media.ilevia.fr/opendata/cartographie/Metro_5456_Gambetta.pdf,59350,Lille
cartographie_station.125,125,Metro,GAMBETTA,CGA099,media.ilevia.fr/opendata/cartographie/Metro_5456_Gambetta.pdf,59350,Lille
cartographie_station.126,126,Metro,WAZEMMES,WAZ098,media.ilevia.fr/opendata/cartographie/Metro_5457_Wazemmes.pdf,59350,Lille
cartographie_station.127,127,Metro,WAZEMMES,WAZ099,media.ilevia.fr/opendata/cartographie/Metro_5457_Wazemmes.pdf,59350,Lille
cartographie_station.128,128,Metro,CITÉ SCIENTIFIQUE PR GABILLARD,CSC098,media.ilevia.fr/opendata/cartographie/Metro_6415_Cite Scientifique.pdf,59009,Villeneuve-d'Ascq
cartographie_station.129,129,Metro,CITÉ SCIENTIFIQUE PR GABILLARD,CSC099,media.ilevia.fr/opendata/cartographie/Metro_6415_Cite Scientifique.pdf,59009,Villeneuve-d'Ascq
cartographie_station.130,130,Metro,GARE JEAN LEBAS ROUBAIX,MGR098,media.ilevia.fr/opendata/cartographie/Metro_6587_Gare Jean Lebas Roubaix.pdf,59512,Roubaix
cartographie_station.131,131,Metro,GARE JEAN LEBAS ROUBAIX,MGR099,media.ilevia.fr/opendata/cartographie/Metro_6587_Gare Jean Lebas Roubaix.pdf,59512,Roubaix
cartographie_station.132,132,Metro,TOURCOING CENTRE,TOU098,media.ilevia.fr/opendata/cartographie/Metro_6666_Tourcoing Centre.pdf,59599,Tourcoing
cartographie_station.133,133,Metro,TOURCOING CENTRE,TOU099,media.ilevia.fr/opendata/cartographie/Metro_6666_Tourcoing Centre.pdf,59599,Tourcoing
cartographie_station.134,134,Metro,V. D'ASCQ JEAN JAURES,JRS098,media.ilevia.fr/opendata/cartographie/Metro_6699_V. D'ascq Jean Jaures.pdf,59009,Villeneuve-d'Ascq
cartographie_station.135,135,Metro,V. D'ASCQ JEAN JAURES,JRS099,media.ilevia.fr/opendata/cartographie/Metro_6699_V. D'ascq Jean Jaures.pdf,59009,Villeneuve-d'Ascq
cartographie_station.136,136,Metro,CANTELEU,CAN098,media.ilevia.fr/opendata/cartographie/Metro_678_Canteleu.pdf,59328,Lambersart
cartographie_station.137,137,Metro,CANTELEU,CAN099,media.ilevia.fr/opendata/cartographie/Metro_678_Canteleu.pdf,59350,Lille
cartographie_station.138,138,Metro,LILLE GRAND PALAIS,LGP098,media.ilevia.fr/opendata/cartographie/Metro_6841_Lille Grand Palais.pdf,59350,Lille
cartographie_station.139,139,Metro,LILLE GRAND PALAIS,LGP099,media.ilevia.fr/opendata/cartographie/Metro_6841_Lille Grand Palais.pdf,59350,Lille
cartographie_station.140,140,Metro,MAIRIE DE CROIX,CXM098,media.ilevia.fr/opendata/cartographie/Metro_7017_Mairie De Croix.pdf,59163,Croix
cartographie_station.141,141,Metro,MAIRIE DE CROIX,CXM099,media.ilevia.fr/opendata/cartographie/Metro_7017_Mairie De Croix.pdf,59163,Croix
cartographie_station.142,142,Metro,LILLE PORTE DES POSTES,PDP099,media.ilevia.fr/opendata/cartographie/Metro_7028_Lille Porte Des Postes.pdf,59350,Lille
cartographie_station.143,143,Metro,LILLE PORTE DES POSTES,PDP398,media.ilevia.fr/opendata/cartographie/Metro_7028_Lille Porte Des Postes.pdf,59350,Lille
cartographie_station.144,144,Metro,LILLE PORTE DES POSTES,PDP399,media.ilevia.fr/opendata/cartographie/Metro_7028_Lille Porte Des Postes.pdf,59350,Lille
cartographie_station.145,145,Metro,LILLE CHU-CENTRE O. LAMBRET,CHR098,media.ilevia.fr/opendata/cartographie/Metro_7214_Lille Chu-Centre O. Lambret.pdf,59350,Lille
cartographie_station.146,146,Metro,LILLE CHU-CENTRE O. LAMBRET,CHR099,media.ilevia.fr/opendata/cartographie/Metro_7214_Lille Chu-Centre O. Lambret.pdf,59350,Lille
cartographie_station.147,147,Metro,SQUARE FLANDRES,LZN098,media.ilevia.fr/opendata/cartographie/Metro_492_Square Flandres.pdf,59346,Lezennes
